Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Edson Álvarez,Ajax,Eredivise,2022,24,Midfielder,CB,4,315,0,,0.24,0.069,0.24,0.069,,,,,2,0.571,0.365,0.104,0.365,0.104,0.157,0.045,0.277,0.079,0.221,0.063,0.057,0.016
Dirk Abels,Sparta Rotterdam,Eredivise,2022,25,Defender,FB,4,199,0,,0.031,0.014,0.031,0.014,,,,,0,,0.188,0.085,0.147,0.067,0.156,0.071,0.322,0.146,0.303,0.137,0.019,0.009
Gaetano Pio Oristanio,FC Volendam,Eredivise,2022,19,Midfielder,FW,3,71,0,,0.142,0.18,0.142,0.18,0.239,,0.206,,0,,0.083,0.105,0.083,0.105,0.138,0.175,0.043,0.054,0.015,0.019,0.028,0.036
Jason Lokilo,Sparta Rotterdam,Eredivise,2022,23,Midfielder,WAM,4,235,0,,0.056,0.021,0.056,0.021,0.117,,0.061,,0,,0.269,0.103,0.256,0.098,0.135,0.052,0.092,0.035,-0.003,-0.001,0.095,0.036
Jamal Amofa,Go Ahead Eagles,Eredivise,2022,23,Defender,CB,4,311,0,,,,,,,,,,0,,0.164,0.047,0.148,0.043,0.134,0.039,0.283,0.082,0.228,0.066,0.055,0.016
Dean Ruben James,FC Volendam,Eredivise,2022,22,Defender,FB,2,135,0,,,,,,,,,,0,,0.147,0.098,0.145,0.097,0.131,0.087,0.214,0.143,0.197,0.131,0.018,0.012
Sven van Beek,sc Heerenveen,Eredivise,2022,28,Defender,CB,5,450,0,,0.077,0.015,0.077,0.015,,,,,0,,0.191,0.038,0.189,0.038,0.129,0.026,0.36,0.072,0.366,0.073,-0.007,-0.001
Marouan Azarkan,Excelsior Rotterdam,Eredivise,2022,20,Forward,WAM,4,211,1,0.427,0.189,0.081,0.189,0.081,0.428,,0.33,,1,0.427,0.175,0.075,0.091,0.039,0.126,0.054,0.176,0.075,0.145,0.062,0.031,0.013
Michael Breij,SC Cambuur,Eredivise,2022,25,Midfielder,WAM,5,198,1,0.455,0.34,0.155,0.34,0.155,0.68,,0.239,,1,0.455,0.043,0.019,0.042,0.019,0.124,0.057,-0.014,-0.006,0.008,0.003,-0.022,-0.01
Sam Beukema,AZ,Eredivise,2022,23,Defender,CB,5,450,0,,0.094,0.019,0.094,0.019,,,,,0,,0.275,0.055,0.274,0.055,0.124,0.025,0.938,0.188,0.71,0.142,0.228,0.046
Landry Dimata,N.E.C.,Eredivise,2022,25,Forward,FW,2,104,0,,0.357,0.309,0.357,0.309,0.017,,-0.013,,0,,0.016,0.014,0.016,0.014,0.124,0.107,-0.185,-0.16,-0.245,-0.212,0.061,0.052
Nick Olij,Sparta Rotterdam,Eredivise,2022,27,Goalkeeper,GK,5,450,0,,,,,,,6.645,,0.403,1,0.2,0.138,0.028,0.129,0.026,0.12,0.024,0.399,0.08,0.388,0.078,0.011,0.002
