Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Alexsandro Ribeiro,Lille,Ligue 1,2022,23,Defender,CB,3,251,0,,,,,,,,,,0,,0.029,0.01,0.029,0.01,0.017,0.006,0.201,0.072,0.173,0.062,0.028,0.01
Leonardo Balerdi,Marseille,Ligue 1,2022,23,Defender,CB,7,498,0,,,,,,,,,,1,0.181,0.054,0.01,0.052,0.009,0.017,0.003,0.205,0.037,0.141,0.025,0.064,0.012
Irvin Cardona,Brest,Ligue 1,2022,25,Forward,FW,5,126,0,,0.087,0.062,0.087,0.062,0.214,,0.184,,0,,0.035,0.025,0.035,0.025,0.017,0.012,0.009,0.006,-0.008,-0.006,0.017,0.012
Darline Yongwa,Lorient,Ligue 1,2022,21,Defender,CM,2,38,0,,,,,,,,,,0,,0.02,0.047,0.02,0.047,0.015,0.036,0.03,0.07,0.007,0.016,0.023,0.054
Steve Mandanda,Rennes,Ligue 1,2022,37,Goalkeeper,GK,5,405,0,,,,,,,2.916,,0.314,1,0.222,0.02,0.004,0.019,0.004,0.015,0.003,0.099,0.022,0.094,0.021,0.005,0.001
Azor Matusiwa,Reims,Ligue 1,2022,24,Midfielder,FB,2,166,0,,,,,,,,,,0,,0.02,0.011,0.02,0.011,0.014,0.008,0.03,0.016,0.023,0.012,0.007,0.004
Karamoko Dembele,Brest,Ligue 1,2022,19,Forward,WAM,3,30,0,,0.05,0.15,0.05,0.15,0.055,,0.005,,0,,0.007,0.021,0.007,0.021,0.014,0.042,0.056,0.167,-0.012,-0.037,0.068,0.204
Kasper Schmeichel,Nice,Ligue 1,2022,35,Goalkeeper,GK,6,540,0,,,,,,,6.841,,-0.023,0,,0.034,0.006,0.021,0.003,0.014,0.002,0.1,0.017,0.1,0.017,0,0
Yoann Cathline,Lorient,Ligue 1,2022,20,Midfielder,CAM,1,33,1,2.727,0.053,0.144,0.053,0.144,,,0.388,,0,,0.008,0.021,0.008,0.021,0.014,0.037,0.021,0.057,0.009,0.024,0.012,0.034
Marvin Senaya,Strasbourg,Ligue 1,2022,,,,1,8,0,,,,,,,,,,0,,0.015,0.174,0.015,0.174,0.013,0.152,0.044,0.493,0.038,0.422,0.006,0.071
